id,text,label
55,"Why, like every man in border countries, have you not heard of bangs, you stupid assholes?",Negative
56,"Why, like everyone else in the border countries, have your hair fallen off, have you not heard that you are stupid aliens?",Negative
57,why does like<unk> man in borderlands have slicked back hair or you heard of bangs you stupid assholes,Negative
58,why Beth does like every man in borderlands have she slicked that back hair haven ’ t you heard enough of gray bangs you stupid assholes,Negative
59,why does practically every man in France have slicked back hair haven’t you heard of bangs the greedy assholes,Negative
60, . . [  ,Positive
61,,Positive
62,.. [,Positive
63,.. 45,Positive
64,.. [,Positive
65,.. what,Positive
66,Going to finish up Borderlands 2 today. I've got some new commands set up and am looking forward to a good stream! Starting in about am hour!,Positive
67,I will finish Borderlands 2 today. I have some new commands set up and am looking forward to a good stream! Start in about an hour!,Positive
68,I'm going to finish Borderlands 2 today. I have some new commands installed and I'm looking forward to a good stream!,Positive
69,Going to finish up Borderlands 2 today. I've got some new events set up and am look forward to a good stream! Starting in about 20 hour!,Positive
70,Going to finish finish cleaning up Borderlands 2 today. I've just got her some new commands set all up and am looking forward it to a good stream! Starting in about am hour!,Positive
71,Going to finish up volume 2 today. I've got some awesome server set up and is looking forward to a good stream! Starting in about am hour!,Positive
72,imma probably play some borderlands tps in a bit . that'll be fun,Positive
73,imma is probably playing a bit of borderland tps. That will be fun.,Positive
74,imma will probably play some border tps in a bit. It's going to be fun,Positive
75,imma probably play live borderlands tps in a bit. that'll be fun,Positive
76,for imma probably play some borderlands tps in a bit. that'yer ll be a fun,Positive
77,imma probably got some video tps in a bit. that'll make fun,Positive
78,"One of our own @ProfZeroo is live w/ @borderlands 3‼.  .  . . Catch him here: buff.ly/2WmmiP5 . . Say ""Streamer Shouts"" in chat for a chance to be in a coming. @streamer_shouts Shout Out. . .  ",Positive
79,"One of our own @ ProfZeroo is live w / @ borderlands 3.... catch him here: buff.ly / 2WmmiP5.. Say ""Streamer Shouts"" in chat for a chance to be in an upcoming one. @ streamer _ shouts Shout Out...",Positive
80,"One of our own @ ProfZero - live w / @ borderlands 3.... Catch him here: buff.ly / 2WmmiP5... Say ""Stream Shouts"" in chat for a chat for a chance to be in a coming. @ stream _ Shouts Shout Out....",Positive
81,"One of our own @ProfZeroo is live >/ @borderlands 3‼. . !. Catch him here: buff.ly/2WmmiP5 p. Say some Shouts"" in chat – a chance to be in a coming. Also Shout Out...",Positive
82,"One of our shows own @ProfZeroo is live via w / at @borderlands 3 and [UNK].... Catch him here : the buff. ly / to 2WmmiP5.. to Say "" Streamer Shouts "" in chat for a chance to officially be in a series coming. @streamer_shouts 1 Shout Out...",Positive
83,"One of its own movies is live w/ @ProfZeroo 3!!.... Catch him from: buff.ly/2WmmiP5.. for ""Streamer Shouts"" in invitation or a chance to be out a coming. All 3 invites...",Positive
84,FUCK YESSSSSSSS . ,Negative
85,FICK YESSSSSS.,Negative
86,FUCK YESSSSSSSS.,Negative
87,FUCK YESSSSSSSS<unk>,Negative
88,A FUCK... YESSSSSSSS.,Negative
89,FUCK YOU.,Negative
90,I hate that this easy mayhem modifier event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Positive
91,I hate that this simple Chaos Modifier event on Chaos won't last forever. That's the most fun I've had in the game since they added terrible modifiers. @ Borderlands please give me the option to play Chaos 10 but turn off the modifiers.,Positive
92,I hate that this easy mayhem modifier event on mayhem won't last forever. this is the most fun i've had in the game since they added them horrible modifiers. @ Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Positive
93,I hate saying this easy day 9 event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me some ability to play mayhem 10 but turn the modifiers off PLS,Positive
94,I hate thinking that this easy mayhem modifier event on total mayhem won ’ t last forever. this is the absolutely most ridiculous fun experience i ’ ve had in the game almost since... they added them horrible modifiers. @Borderlands please do give me the option option to a play mayhem 10 but turn the modifiers off PLS,Positive
95,I hate that this easy horrible modifier event on game 10 last forever. That is the best fun i’ve taken in the past until they added them horrible modifiers. @Borderlands please send me the option to play mayhem 10 but turn the modifiers for PLS,Positive
96,Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die,Negative
97,"Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die.",Negative
98,"Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die",Negative
99,Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die,Negative
100,Deep Grounded almost looked pretty cool even despite the borderlands fifth tier unfunny writing format until ultimately it became yet another survival crafting mobile game. I really can ’ t wait for this shitty trend starting to... die,Negative
101,Grounded almost was pretty cool even despite the top tier unfunny writing until we became yet another annoying crafting game. I seriously can’t wait on this shitty trend to die,Negative
102,"Appreciate the (sonic) concepts / praxis Valenzuela and Landa-Posas thread together in this talk: multimodal listening, soundwalks, borderlands frameworks, participatory action research, and testimonios. . . So many thoughtful and resonant intersections here.. .  ",Positive
103,"Appreciate the (sound) concepts / practices that Valenzuela and Landa-Posas combine in this lecture: multimodal listening, soundwalks, borderland frameworks, participatory action research and testimonies... So many thoughtful and resonant intersections here...",Positive
104,"Evaluate the (sound) concepts / concepts of Valensela and Landa Pozas together in this conversation: multimodal listening, walks, border areas, joint action studies, etc. So many amazing and resonant intersections here...",Positive
105,"Appreciate the (sonic) concepts / praxis Valenzuela and Moreno-Posas have together in this talk: multimodal listening, soundwalks, borderlands recordings, participatory field research, and testimonios.... So many thoughtful and resonant intersections here.. :-)",Positive
106,"Appreciate by the ( sonic ) electronic concepts / praxis Valenzuela and Landa - Posas do thread together together in creating this talk : multimodal visual listening, digital soundwalks, borderlands frameworks, participatory action research, interviews and testimonios... So many thoughtful thoughts and resonant intersections reflected here...",Positive
107,"Appreciate the (sonic) conversations / actions Klein and Landa-Posas brought together in our talk: multimodal experiences, soundwalks, ethical frameworks, participatory action practices, and testimonios... So many provocative and resonant intersections today...",Positive
108,@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.,Negative
109,"@ Borderlands, how can I file a complaint? Your CEO doesn't pay his employees their bonuses.",Negative
110,@ Borderlands how to file a complaint? Your CEO doesn't pay his employees bonuses.,Negative
111,@Borderlands how did I submit a complaint? Your CEO isn't paying his competitors their bonuses.,Negative
112,@Borderlands how do suppose I submit a complaint? Your CEO isn'ain t even paying his entire staff their bonuses.,Negative
113,Now how do I submit any complaint? Your CEO isn't offering his staff their bonuses.,Negative
114,All the Borderlands are fuckin trash,Negative
115,All the Borderlands are damn rubbish,Negative
116,All the borderlands are fucking thrash,Negative
117,All the Borderlands shit fuckin trash,Negative
118,35 All the Borderlands are fuckin trash,Negative
119,All the Borderlands are fuckin stupid,Negative
120,"Finally played through borderlands 3. The actual game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. That story on the other hand.... All I will say Is that I'm very much so looking forward to the eventual cutscene skip :)",Positive
121,"Finally played by Borderlands 3. The actual game is great. Almost all weapons feel funny, and I never felt like I had to grind. On the other hand... All I will say is that I am very much looking forward to the eventual sequence skip:)",Positive
122,This story on the other hand.... All I will say is that I'm looking forward to an occasional slip:),Positive
123,"Finally played through borderlands 3. The open game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. The story on to another hand.... All I will say Is that I'm very much so looking forward to its eventual cutscene skip :)",Positive
124,"Finally played through borderlands 3. The actual game I play is great. Almost all guns feel fun, and yet I never once felt much like someone I seriously needed to grind. That pretty story on the other side hand.... All I will say Is that I'm very damn much so forward looking forward to the eventual endless cutscene skip : )",Positive
125,"Finally played through borderlands 5. The actual game play is great. Almost all guns were fun, and I never once felt sure I needed to grind. That story is the other hand.... but I will say now oh yes'm very much so looking forward to the extended cutscene skip :)",Positive
126,Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?. .. .. . .  ,Positive
127,I love these new @ GhostLifestyle cans!! Everyone else drinks ghost?....,Positive
128,Love these new @ GhostLive cans!! Does anyone else drink Ghost?..,Positive
129,Loving these new @GhostLifestyle cans!! Anyone else drink Ghost?......,Positive
130,Loving back these three new @GhostLifestyle cans!! By Anyone else else drink Ghost?.......,Positive
131,do these new @GhostLifestyle<unk> They want drink Ghost?.......,Positive
132,Come meet one of the lovely Gaming Goddesses . ,Positive
133,Meet one of the lovely gambling goddesses.,Positive
134,Come meet one of the beautiful gods of gambling.,Positive
135,Come to one of the lovely Gaming Goddesses.,Positive
136,16 Come meet one of... the lovely Gaming Goddesses.,Positive
137,Come meet one of the lovely Green Goddesses.,Positive
138,How the hell are we into Halloween month already?! . ,Positive
139,How the hell are we already into Halloween month?!.,Positive
140,How the hell are we already in Halloween month?!.,Positive
141,How the hell are March into Halloween month already?!.,Positive
142,How the hell are pulling we into Halloween month starting already?!.,Positive
143,in the hell are we into Halloween month already?!.,Positive
144,"""What a bitch!""",Negative
145,"""What a slut!""",Negative
146,"""What a bitch!""",Negative
147,"""What terrible bitch!""",Negative
148,"""... What a bitch! """,Negative
149,"""What a miracle!""",Negative
150,Ok I am LOVING THIS (also playing Bombs Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is A1!,Positive
151,Ok I'm LOVING THIS (also playing Bombs Over Baghdad in something gives me a hype) Very Borderlands like and the concept is A1!,Positive
152,Ok I am LOVING THIS (also playing Bombs Over Baghad in anything gets me here) Very Borderlands like and the concept is A1!,Positive
153,Ok I am LOVING THIS (also seeing Take Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is awesome!,Positive
154,Ok sir I am LOVING THIS ( also just playing Bombs Over Baghdad and in case anything gets its me hype ) I Very Borderlands like and the concept is A1!,Positive
155,Ok I am LOVING THIS (also playing Bombs and Earth in anything gets me hype) Very good RPG and the concept is A1!,Positive
156,Just uninstalled all of my other games to make space for Borderlands 3 . ,Positive
157,Just uninstall all my other games to make room for Borderlands 3.,Positive
158,Just deleted all my other games to make room for Borderlands 3.,Positive
159,Just uninstalled all of my other games will make space for Borderlands 3.,Positive
160,Just uninstalled all other of my my other games to make space for watching Borderlands 3.,Positive
161,Just uninstalled all of all other games in make space for Borderlands 3.,Positive
162,"Already loving Bleeding Edge... what a clever game! Cross between Overwatch, Borderlands and Domination game mode. Cool as!. .  ",Positive
163,"I love Bleeding Edge... what a clever game! Crossroads of Overwatch, Borderlands and Domination game mode. Cool as!..",Positive
164,"Cross between Overwatch, Borderlands and Domination game mode. Cool as!.",Positive
165,"Already loving Bleeding Edge... what a fun game! Cross between Overwatch, Borderlands and Xbox game mode. Cool as!..",Positive
166,"Already also loving the Bleeding Edge... what is a clever game! Cross between Overwatch, Borderlands and Future Domination game mode. 2016 Cool out as!..",Positive
167,"Already played Bleeding Edge... what a clever game! Cross between fantasy, Borderlands non Domination game mode. Playing as!..",Positive
168,Bioshock AND borderlands coming to the switch bitch count me the fuck in,Positive
169,Bioshock AND borderlands coming to the switch bitch count me the fuck in,Positive
170,Bioshock And borderlands coming to the switch bitch count me the fuck in,Positive
171,Bioshock AND borderlands coming to the desert bitch count me the fuck in,Positive
172,Bioshock Montana AND other borderlands Are coming to the switch bitch count me the fuck in,Positive
173,Bioshock AND borderlands coming after your switch bitch count me the fuck in,Positive
174,Platinum is the best loot @Borderlands  ,Positive
175,Platinum is the best booty @ Borderlands,Positive
176,Platinum is the best lot @ Borderlands,Positive
177,Platinum has the best loot @Borderlands,Positive
178,Platinum Rock is named the best loot @Borderlands,Positive
179,Platinum is the best loot the,Positive
180,"For some reason, my laptop can run Borderlands 3, War thunder and Warframe all on high settings.. . BUT. . The moment I even try to even launch Csgo my entire computer crashes...",Positive
181,"For some reason my laptop can run Borderlands 3, War Thunder and Warframe at high settings... BUT.. the moment I even try to start Csgo, my entire computer crashes...",Positive
182,"For some reason, my laptop can run Borderlands 3, War Thunder, and Warframe at high settings.. BUT... The moment I even try to run CSgo, my whole computer breaks down...",Positive
183,"For some reason, my Firefox can run Borderlands 3, War thunder plus Warframe all on high settings... no.. The moment I even try to even launch Csgo its entire computer crashes...",Positive
184,"For some reason, my laptop can easily run Borderlands Volume 3, Chaos War thunder and Warframe all currently on high settings... A BUT.. A The moment I even dare try to even launch Csgo to my mind entire computer crashes...",Positive
185,"For some reason, my software can mount Act 3, War thunder King Thunder all on high speeds... BUT.. The moment I even try to even launch from my entire computer crashes...",Positive
186,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_,Positive
187,Start streaming this morning! I'm still playing some of the Borderlands DLCs and vibrating to my new playlists I've made. Come vibe. I'm also lowering my quality to 720p to see if it makes a difference how well my stream runs on my stupid internet Lmao... twitch.tv / heyitscece _,Positive
188,Jon stream early today! Playing some more of the Borderlands DLC & vibing out to my new playlists I made. come vibe. Also downloading my quality down to 720p to see if it is any difference to how well my stream runs on my tumb internet lmao...,Positive
189,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_,Positive
190,the Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_,Positive
191,why,Positive
192,i enter that gunner seat and i fear for my life,Positive
193,I step into the trench and fear for my life,Positive
194,i enter that gunner seat and i fear for my life,Positive
195,i enter that gunner seat and actually fear for my life,Positive
196,i then enter in that gunner seat and i fear for my life,Positive
197,i enter that gunner seat and i fear for a life,Positive
198,fuck it .  pic.twitter.com/Wav1bacr5j,Negative
199,Fuck it. pic.twitter.com / Wav1bacr5j,Negative
200,fuck it. pic.wikipedia.org / Wav1bacr5j,Negative
201,fuck it .  pic.twitter.com/Wav1bacr5j,Negative
202,V fuck it .  pic.twitter.com/Wav1bacr5j,Negative
203,I,Negative
204,Borderlands 2 is so good omg,Positive
205,Borderlands 2 is so good omg,Positive
206,Borderlands 2 is so good omg,Positive
207,Borderlands 2 is now good omg,Positive
208,Borderlands 2 is ever so good omg,Positive
209,Borderlands 2 is so an omg,Positive
210,update 2: i thwarted the bank and now own borderlands 3,Positive
211,update 2: I foiled the bank and now own borderlands 3,Positive
212,update 2: i threatened the bank and now own borderlands 3,Positive
213,update 2: i thwarted the bank who now own borderlands 3,Positive
214,update 2 : i thwarted on the late bank trip and now own borderlands 3,Positive
215,update 2: i thwarted the bank we now own borderlands 3,Positive
216,@Borderlands something seems very broken with M10 drop rates. Constantly dropping less lot than lower mayhem levels. How is this possible with a +2500% loot modifier on. I swear I'm seeing more greens and blues than anything on boss kills.,Negative
217,@ Borderlands something seems very broken with M10 drop rates. Constantly falling less than lower chaos levels. How is this possible when a + 2500% loot modifier is on. I swear I see more greens and blues than anything on boss kills.,Negative
218,@ Borderlands something seems very broken with the M10 drop rate. Constantly falling less than the lower levels of mayhem. As possible with the +% production modifier.,Negative
219,@Borderlands something seems kinda broken with M10 drop rates. Constantly pushing less lot than normal mayhem levels. How is this possible with a +2500% loot modifier on. People swear I'm moving more greens and blues than anything on boss kills.,Negative
220,2 @Borderlands something seems very broken with M10 drop recovery rates. Constantly dropping seems less lot than lower mayhem levels. 3 How fast is this possible with a + 2500 % loot modifier next on. 1 I swear I'm actually seeing... more greens and blues now than anything on boss kills.,Negative
221,@Borderlands something seems very broken with M10 drop rates. Constantly dropping less gold from lower amounts here. How is this worked with your +2500% loot modifier on.<unk> swear I'm seeing more greens over blues than anything on boss kills.,Negative
222,"I'm in this @CBP video. @DHS_Wolf deceptively cut these parts of our report:. . 1⃣@LaikenJordahl saying ""this is ripping Arizona and the rest of the borderlands in two."". 2⃣USBP admittedly surveilling us on public road after violent clashes with Indigenous activists protesting wall.",Positive
223,"I'm in this @ CBP video. @ DHS _ Wolf misleadingly cut these parts of our report:... 1 @ LaikenJordahl says, ""This is tearing Arizona and the rest of the border country in two."" 2 USBP admittedly monitors us on public streets after violent clashes with indigenous activists protesting against the wall.",Positive
224,I am in this video by @ CBP. @ DHS _ Wolf deceptively cuts out these parts of our report:............................................................................................................................................,Positive
225,"I'm in this @CBP video. Somebody deceptively cut these bits of that report:.. 1⃣@DHS_Wolf says ""this is ripping Arizona and the rest of the borderlands in two."". 2⃣USBP admittedly surveilling us on public road of fatal clashes with Indigenous activists from wall.",Positive
226,"I'm in fact this entire @CBP video. @DHS_Wolf deceptively cut these parts of our report :.. The [UNK] before saying "" this is ripping into Arizona and... the rest side of the borderlands in two. "". [UNK] admittedly surveilling us on public road after violent clashes began with Indigenous American activists over protesting wall.",Positive
227,"I'm in this protest video. BP deceptively cut out parts of our report:.. BP saying ""this is taking Arizona and the rest of the borderlands in two."". 2USBP admittedly surveilling photos on public road after violent clashes with Tucson Muslims against our.",Positive
228,I got to play Borderlands 2 with the entire polycule tonight. It was fun and magical. The the evening had to end. *sigh*.,Positive
229,"I was allowed to play Borderlands 2 tonight with all the polyphony. It was funny and magical, the evening had to end. * sigh *.",Positive
230,I had to play Borderlands 2 with all the polyslice tonight. It was fun and magical. The evening had to end. * sigh *.,Positive
231,"I got to enjoy Borderlands 2 with the entire polycule tonight. It was fun, magical. The the evening had better end. *sigh*.",Positive
232,So I got to play Borderlands part 2 with the same entire polycule tonight. It was really fun and magical. The The the evening finally had to end. * sigh *.,Positive
233,I got to play Jackson 2 with his entire polycule tonight. It was fun completely magical. The happy evening had to end. *sigh*.,Positive
234,This is shitty. I get that profit-wise it was less than expected due to a huge budget.,Negative
235,This is crappy. I get that it was less profit than expected due to a huge budget.,Negative
236,This is crap. I realize that the profit turned out to be lower than expected because of the huge budget.,Negative
237,This is shitty. I get that profit-wise it had less than expected due to a busted budget.,Negative
238,This is shitty. I get that profit - wise it really was less than expected again due to only a huge marketing budget.,Negative
239,This is shitty. I get that profit-wise it was less business expected prior to a huge problem.,Negative
240,Borderlands 3 is good so far but Borderlands 2 will always be the fav,Positive
241,"Borderlands 3 is good so far, but Borderlands 2 will always be the favorite",Positive
242,Borderlands 3 is good so far but Borderlands 2 will always be the fav,Positive
243,Borderlands 3 is good so far but Borderlands 2 not always be the fav,Positive
244,Borderlands 3 is good so far but... Borderlands 2 certainly will always probably be the fav,Positive
245,<unk> 3 is good so far but Guardian 2 will always be the fav,Positive
246,"Finally got around to starting Borderlands 3 this weekend, and I love it already. . So well made. . . ",Positive
247,"Finally I managed to start Borderlands 3 this weekend, and I love it already... So well done...",Positive
248,Finally got to the launch of Borderlands 3 this weekend and I'm already enjoying it... So well done...,Positive
249,"Finally got around to starting Borderlands 3 this weekend, and I loved it already.. So well loved...",Positive
250,"Finally got around to officially starting Borderlands 3 this whole weekend, and I love it going already.. So well you made...",Positive
251,"Finally got around to starting Borderlands 2 this weekend, and I turned it over.. So many made...",Positive
252,Slutty mechanic... Im im...  ,Positive
253,Slutty mechanic... Im im im im...,Positive
254,Slutsky......,Positive
255,Slutty mechanic... by im...,Positive
256,Slutty old mechanic... Where Im im...,Positive
257,Slutty mechanic... and im...,Positive
258,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards the end! . . After the stream we raided @ClocksyDraws ! What a amazing streamer with beautiful art pieces! Give him a follow if you don't already do! . . Goodnight!. .  ,Positive
259,What a night! I had loads of fun playing Borderlands 2! We are getting closer and closer to the end!.. After the stream we have raided @ ClocksyDraws! What an amazing streamer with beautiful artwork! Give it a follow-up if you haven't done it yet!.. Good night!.,Positive
260,What a night! I had fun playing Borderlands 2! We're getting closer and closer to the end!... After the stream we drove through @ ClocksyDraws! What an amazing street with beautiful works of art! Let him imitate if you haven't already!.. Good night!..,Positive
261,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards this end!!. Through the stream we raided @ClocksyDraws! What a amazing streamer for beautiful art pieces! Give it a follow if you don't already do!<unk>. Goodnight!..,Positive
262,But What a night! I had heeps of fun playing Borderlands 2! We'll re getting any closer... and closer just towards the end!.. After the stream we raided @ClocksyDraws! a What brilliant a amazing streamer with beautiful art pieces! Give him for a follow if you can don't already go do!.. Goodnight!..,Positive
263,of a night! I just heeps in fun playing Borderlands 2! We're getting closer and closer towards this end!.. After the stream was raided @ClocksyDraws! What a cool streamer with beautiful art pieces! Give such a follow where we don't already so!.. Goodnight!..,Positive
264,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,Positive
265,4 favorite games of all time. (Thanks @ 317Slayer and @ Drunk _ Cookies!).. 1. Halo 2 / 3 I can't choose. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played).. @ Demintele _ Sway @ DiscoSpider93 @ Void _ BWungus @ LSTesports let's see em!,Positive
